code,description,base_fee,profession
66223,A pressure garment for the face (chin strap only).,106.10,occupational therapy
66225,A pressure garment for the face (full face mask).,106.10,occupational therapy
66301,"Group treatment in a task-centered activity, per patient (Treatment time 60 minutes or more).",141.60,occupational therapy
66303,"Placement of a patient in an appropriate treatment situation requiring structuring the environment, adapting equipment and positioning the patient. This does not require individual attention for the whole treatment session, per patient)",211.90,occupational therapy
66305,"Groups directed to achieve common aims, per patient) (Treatment time 60 minutes or more).",282.70,occupational therapy
66307,"Simultaneous treatment with two to four patients, each with specific problems, utilising individual activities, per patient (Treatment time 60 minutes or more)",282.70,occupational therapy
66308,"Simultaneous treatment with two to four neuro-behavioural and stress related conditions or severe head injury patients, each with specific problems, utilising individual activities, per patient (Treatment time 90 minutes or more)",424.20,occupational therapy
66309,On level one (15 minutes).,141.60,occupational therapy
66311,On level two (30 minutes).,282.70,occupational therapy
66313,On level three (45 minutes).,424.20,occupational therapy
66315,On level four ( 60 minutes).,565.30,occupational therapy
66317,On level five (90 minutes).,706.70,occupational therapy
66319,On level six (120 minutes).,848.30,occupational therapy
66401,"Recommendations as regards to assistive devices, environmental adaptations, alternative/compensatory methods, handling the patient",211.90,occupational therapy
66403,On level one.,141.60,occupational therapy
66405,On level two.,282.70,occupational therapy
66407,On level three.,424.20,occupational therapy
66409,On level four.,565.30,occupational therapy
66411,On level five.,706.70,occupational therapy
66413,On level six.,848.30,occupational therapy
66415,Designing and constructing a static orthosis.,848.30,occupational therapy
66417,Designing and constructing a dynamic orthosis.,1696.10,occupational therapy
66419,Limb.,848.30,occupational therapy
66421,Face (chin strap only).,636.00,occupational therapy
66423,Face (full face mask).,848.30,occupational therapy
66425,Trunk.,1272.40,occupational therapy
66427,Hand.,1272.40,occupational therapy
66431,Planning and preparing in depth home programme on a monthly basis.,1272.40,occupational therapy
66434,Hiring equipment: 1% of the current replacement value of the equipment per day. Total charge not to exceed 50% of replacement value. Description of equipment to be supplied.,0.00,occupational therapy
66501,Treatment in nursing home or other health care facilities. Relevant fee plus (once per day),143.50,occupational therapy
66503,Domicillary treatments: Relevant fee plus,286.80,occupational therapy
66701,Static finger extension/flexion splint,0.00,occupational therapy
66702,Dynamic finger extension/flexion,0.00,occupational therapy
66703,Buddy strap,0.00,occupational therapy
66704,DIP/PIP flexion strap,0.00,occupational therapy
66705,"MP, PIP, DIP flexion strap",0.00,occupational therapy
66706,Hand based static finger extension/flexion,0.00,occupational therapy
66707,Hand based static thumb extension/flexion/opposition/ abduction,0.00,occupational therapy
66708,Hand based dynamic finger flexion/extension,0.00,occupational therapy
66709,Hand based dynamic thumb flexion/extension/opposition/abduction,0.00,occupational therapy
66710,Static wrist extension/flexion,0.00,occupational therapy
66711,Dynamic wrist extension/flexion,0.00,occupational therapy
66712,Flexion glove ,0.00,occupational therapy
66713,Forearm based dynamic finger flexion/extension,0.00,occupational therapy
66714,Forearm based dorsal protection,0.00,occupational therapy
66715,Forearm based volar resting ,0.00,occupational therapy
66716,Static elbow extension/flexion,0.00,occupational therapy
66717,Dynamic elbow flexion/extension splint,0.00,occupational therapy
66718,Shoulder abduction splint,0.00,occupational therapy
66719,Static rigid neck splint,0.00,occupational therapy
66720,Static soft neck splint/brace,0.00,occupational therapy
66721,Static knee extension,0.00,occupational therapy
66722,Static foot dorsiflexion,0.00,occupational therapy
66801,Glove to wrist,0.00,occupational therapy
66802,Glove to elbow,0.00,occupational therapy
66803,Gauntlet (Glove with palm and thumb only),0.00,occupational therapy
66804,Sleeve: Upper/forearm ,0.00,occupational therapy
66805,Sleeve: full,0.00,occupational therapy
66806,Vest + sleeves,0.00,occupational therapy
66807,Sleeveless vest,0.00,occupational therapy
66808,Upper leg,0.00,occupational therapy
66809,Lower leg,0.00,occupational therapy
66810,Full leg,0.00,occupational therapy
66811,Pants (trunk and full legs),0.00,occupational therapy
66812,Briefs,0.00,occupational therapy
66813,Anklet,0.00,occupational therapy
66814,Knee length stocking,0.00,occupational therapy
66815,Chin strap,0.00,occupational therapy
66816,Full face mask,0.00,occupational therapy
66817,Neck only,0.00,occupational therapy
66818,Finger sock,0.00,occupational therapy
66901,Therapeutic putty,0.00,occupational therapy
66902,"Wood, leather, sisal",0.00,occupational therapy
66903,Sponge,0.00,occupational therapy
66904,Elastonet,0.00,occupational therapy
66905,Silicon gel sheeting,0.00,occupational therapy
66906,Simple craft activity,0.00,occupational therapy
820007,Group therapy: per patient at rooms (Maximum of 3 patients per therapy),317.10,speech therapy
820009,Preparation of a home programme,293.80,speech therapy
820020,Report writing,425.90,speech therapy
820107,Appointment not kept ,0.00,speech therapy
820300,Medication,0.00,speech therapy
820301,Material,0.00,speech therapy
821010,Audiology consultation. Duration 5 - 15 mins,138.90,speech therapy
821011,Audiology consultation. Duration 16 - 30 mins,319.30,speech therapy
821012,Audiology consultation. Duration 31 - 45 mins,532.10,speech therapy
821013,Audiology consultation. Duration 46 - 60 mins,745.10,speech therapy
821015,Prolonged audiology consultation,201.40,speech therapy
821020,Speech therapy consultation. Duration 5 - 15 mins,142.00,speech therapy
821021,Speech therapy consultation. Duration 16 - 30 mins,319.30,speech therapy
821022,Speech therapy consultation. Duration 31 - 45 mins,532.10,speech therapy
821023,Speech therapy consultation. Duration 46 - 60 mins,745.10,speech therapy
821050,Speech therapy assessment and treatment. Duration 5 - 15 mins,142.00,speech therapy
821051,Speech therapy assessment and treatment. Duration 16 - 30 mins,319.30,speech therapy
821052,Speech therapy assessment and treatment. Duration 31 - 45 mins,532.10,speech therapy
821053,Speech therapy assessment and treatment. Duration 46 - 60 mins,745.10,speech therapy
821100,"Air conduction, pure tone audiogram",229.60,speech therapy
821105,Bone conduction pure tone audiogram,193.10,speech therapy
821110,Full Speech Audiogram including speech reception threshold and discrimination at two or more levels. (3277),245.40,speech therapy
821115,Speech audiogram screening,80.20,speech therapy
821120,Visual reinforcement audiometry (VRA),668.20,speech therapy
821121,Conditioning play audiometry,653.90,speech therapy
821122,Select picture audiometry,653.90,speech therapy
821125,Tinnitus Evaluation,240.10,speech therapy
821200,Immittance Measurements (Impedance / Tympanometry)  ,124.40,speech therapy
821205,Immittance Measurements - Impedance / Stapedial reflex (3276): Limited reflex spectrum ,60.50,speech therapy
821210,Immittance Measurements - Impedance / Stapedial reflex (3276):  ,181.40,speech therapy
821215,High Frequency Tympanometry (impedance testing) - for peadiatric population,120.90,speech therapy
821220,Eustachian Tube Function Test - multiple tympanograms - bilateral,181.40,speech therapy
821225,Rinne & Weber tests,63.80,speech therapy
821300,Tone Decay (for retro cochlear pathology) ,128.20,speech therapy
821305,Reflex decay (for retro cochlear pathology),120.90,speech therapy
821310,SISI (for cochlear pathology),80.20,speech therapy
821315,Air conduction MCL (Most comfortable levels) & UCL ,128.20,speech therapy
821320,Speech conduction MCL & UCL (for cochlear pathology),63.80,speech therapy
821325,Test for functional hearing loss,159.90,speech therapy
821331,"Stenger test, pure tone",80.20,speech therapy
821332,"Stenger test, speech",80.20,speech therapy
821335,Fistula test - (for peri-lymph fluid leakage) ,240.10,speech therapy
821400,Central Auditory Processing Disorders test,212.40,speech therapy
821500,Diagnostic Neurological short latency ABR (2692),980.60,speech therapy
821505,AABR - Bilateral (Automated Auditory Brainstem Response). Cannot be charged with 1510,453.90,speech therapy
821510,Screening ABR - Bilateral ,302.40,speech therapy
821515,Diagnostic Audiological Click ABR,980.60,speech therapy
821520,Diagnostic Audiological Click ABR-),1307.80,speech therapy
821531,Diagnostic Audiological Tone Burst ABR ,490.80,speech therapy
821532,Diagnostic Audiological Tone Burst ABR   : 2 frequencies,980.60,speech therapy
821533,Diagnostic Audiological Tone Burst ABR (Auditory Brainstem Response) ,1471.30,speech therapy
821534,Diagnostic Audiological Tone Burst ABR : 4 frequencies,1961.90,speech therapy
821541,Diagnostic Audiological Middle latency & Late Cortical Evoked ABR ,408.50,speech therapy
821542,Diagnostic Audiological Middle latency & Late Cortical Evoked ABR,817.60,speech therapy
821543,Diagnostic Audiological Middle latency & Late Cortical Evoked ABR ,1226.10,speech therapy
821544,Diagnostic Audiological Middle latency & Late Cortical Evoked ABR ,1634.90,speech therapy
821551,ASSER (Auditory Steady State Evoked Response)  Bilateral threshold determination : 1 frequency,490.80,speech therapy
821552,ASSER (Auditory Steady State Evoked Response)  Bilateral threshold determination : 2 frequencies ,653.90,speech therapy
821553,ASSER (Auditory Steady State Evoked Response)  Bilateral threshold determination : 3 frequencies  ,980.60,speech therapy
821554,ASSER (Auditory Steady State Evoked Response)  Bilateral threshold determination : 4 frequencies,1307.80,speech therapy
821560,P300 Cognitive AEP (Auditory Evoked Potential) or MMN (Mismatch Negativity),572.30,speech therapy
821565,Electrocochleography: unilateral (2699). Cannot be charged with item 1570.,735.90,speech therapy
821570,Electrocochleography: bilateral (2700). Cannot be charged with item 1565.,1471.30,speech therapy
821575,Cochlear nerve function test - intra-operative monitoring - per 30min,490.80,speech therapy
821580,OAE (Oto-acoustic emissions) - limited frequencies (transient or distortion product) for hearing screening of neonatal and pediatric population. ,218.50,speech therapy
821581,OAE (Oto-acoustic emissions) - comprehensive diagnostic evaluation,453.90,speech therapy
821600,Spontaneous and positional nystagmus using electro-nystagmography (ENG)  (3253).,899.10,speech therapy
821605,Spontaneous and positional nystagmus using Video-nystagmography (VNG,946.20,speech therapy
821610,Eye Visualization  spontaneous and positional nystagmus  monocular ,509.30,speech therapy
821615,"Videonystagmoscopy: spontaneous and positional nystagmus. (Only camera/goggles, without computerised VNG software)",528.70,speech therapy
821620,Oculo-motor/central tests using electro-nystagmography (ENG),430.20,speech therapy
821625,Oculo-motor/central tests using video-nystagmography (VNG),430.20,speech therapy
821630,DVA (Dynamic Visual Acuity) test using Video-nystagmography (VNG),177.10,speech therapy
821635,Caloric test using ENG electro-nystagmography (3255),860.30,speech therapy
821640,Caloric test using VNG electro-nystagmography (3255),860.30,speech therapy
821645,Posturography,430.20,speech therapy
821650,Rotational Chair test,226.80,speech therapy
821655,Otolith repositioning/canalith maneuvre,354.70,speech therapy
821660,Vestibular rehabilitation (neuromuscular),354.70,speech therapy
821700,Cochlear Implants: Pre-implant round window promontory testing,680.90,speech therapy
821710,Cochlear Implants : Electrode mapping : per 15min (max 120min),257.90,speech therapy
821720,Cochlear Implants : Implant test : Four test modes : intra- or post-operatively ,80.20,speech therapy
821725,Cochlear Implants : Neural Response Telemetry : intra-operatively (during cochlear implant surgery),344.10,speech therapy
821730,Cochlear Implants : Neural Response Telemetry : post-operatively (after cochlear implant surgery),880.00,speech therapy
821735,Cochlear Implants : Electrical Stapedius Reflex Thresholds : intra-operatively only,223.40,speech therapy
821740,Cochlear Implants : Comprehensive speech perception testing,245.30,speech therapy
821800,Hearing aid evaluation - per ear,170.10,speech therapy
821805,Free Field Hearing Aid Evaluation : Pure tone and speech (with and without lipreading),212.40,speech therapy
821810,Insertion gain measurement,155.90,speech therapy
821815,Re-programming of hearing aid,145.50,speech therapy
821820,Technical adjustment of hearing aid/device,87.30,speech therapy
821825,Repairs to hearing aids,0.00,speech therapy
821830,Global charge for supply and fitting of hearing aid and follow-up (By arrangement with scheme).,0.00,speech therapy
821900,Pure Tone Audiogram (Air conduction). (3237),119.80,speech therapy
821905,Pure Tone Audiogram (Bone conduction) (3274),119.80,speech therapy
821910,Full Speech Audiogram including speech reception threshold and discrimination at two or more levels (3277),186.20,speech therapy
821915,Speech audiogram screening,79.70,speech therapy
821920,Immittance Measurements (Impedance) (Tympanometry),119.80,speech therapy
821925,Immittance Measurements (Impedance) (Stapedial reflex) (3276),119.90,speech therapy
821055 ,"Consultations/visits away from practitioner's room (non-emergency)-to be charged once per day per patient, only applicable to domiciliary treatments",284.20,speech therapy
